"Issue Area Tags
(pick ONE) ",Program,"Primary Output
(pick ONE)",Number of Awards
Decentralization,Discretionary Awards,Workshop or Convening,1
Decentralization,Fellow in Residence/ Senior Fellows,Art or Media,1
Decentralization,Fellow in Residence/ Senior Fellows,Other/not available,2
Decentralization,Fellow in Residence/ Senior Fellows,Public Resource,1
Decentralization,Mozilla Science Mini Grants,Curriculum or Educational Resource,1
Decentralization,Mozilla Science Mini Grants,Software,1
Decentralization,NSF WINS,Hardware,10
Decentralization,Open Science Fellows,Public Resource,1
Decentralization,Other Programs,Hardware,2
Decentralization,Other Programs,Other/not available,1
Decentralization,Other Programs,Public Resource,1
Decentralization,Tech Policy Fellows,Policy recommendations,2
Digital Inclusion,Advocacy Network Fund,Capacity Building,1
Digital Inclusion,Advocacy Network Fund,Public Resource,1
Digital Inclusion,Advocacy Network Fund,Workshop or Convening,8
Digital Inclusion,Discretionary Awards,Capacity Building,1
Digital Inclusion,Discretionary Awards,Curriculum or Educational Resource,1
Digital Inclusion,Discretionary Awards,General Operating Support,5
Digital Inclusion,Discretionary Awards,Other/not available,1
Digital Inclusion,Discretionary Awards,Public Resource,5
Digital Inclusion,Discretionary Awards,Software,1
Digital Inclusion,Discretionary Awards,Workshop or Convening,3
Digital Inclusion,Fellow in Residence/ Senior Fellows,Policy recommendations,1
Digital Inclusion,Fellow in Residence/ Senior Fellows,Public Resource,2
Digital Inclusion,Fellow in Residence/ Senior Fellows,Research,1
Digital Inclusion,Gigabit Community Fund,Curriculum or Educational Resource,7
Digital Inclusion,Gigabit Community Fund,Other/not available,1
Digital Inclusion,Gigabit Community Fund,Software,1
Digital Inclusion,Hive,Capacity Building,5
Digital Inclusion,Hive,Curriculum or Educational Resource,4
Digital Inclusion,Hive,Hardware,1
Digital Inclusion,Hive,Public Resource,13
Digital Inclusion,Hive,Workshop or Convening,13
Digital Inclusion,MOSS,Capacity Building,3
Digital Inclusion,MOSS,General Operating Support,5
Digital Inclusion,MOSS,Hardware,1
Digital Inclusion,MOSS,Software,3
Digital Inclusion,Mozilla Science Mini Grants,Curriculum or Educational Resource,1
Digital Inclusion,NSF WINS,Hardware,11
Digital Inclusion,Open News Fellows,Curriculum or Educational Resource,1
Digital Inclusion,Open News Fellows,Research,1
Digital Inclusion,Open Science Fellows,Art or Media,1
Digital Inclusion,Open Science Fellows,Public Resource,1
Digital Inclusion,Open Science Fellows,Workshop or Convening,1
Digital Inclusion,Open Web Fellows,Curriculum or Educational Resource,1
Digital Inclusion,Open Web Fellows,Other/not available,1
Digital Inclusion,Open Web Fellows,Public Resource,1
Digital Inclusion,Open Web Fellows,Software,1
Digital Inclusion,Open Web Fellows,Workshop or Convening,1
Digital Inclusion,Other Programs,Capacity Building,1
Digital Inclusion,Other Programs,Curriculum or Educational Resource,1
Digital Inclusion,Other Programs,Hardware,1
Digital Inclusion,Other Programs,Other/not available,2
Digital Inclusion,Other Programs,Workshop or Convening,4
Digital Inclusion,Tech + Society Fellows,Policy recommendations,1
Digital Inclusion,Tech + Society Fellows,Public Resource,2
Digital Inclusion,Tech Policy Fellows,Policy recommendations,1
Digital Inclusion,Tech Policy Fellows,Public Resource,2
Open Innovation,Discretionary Awards,Curriculum or Educational Resource,2
Open Innovation,Discretionary Awards,General Operating Support,1
Open Innovation,Discretionary Awards,Public Resource,4
Open Innovation,Discretionary Awards,Workshop or Convening,5
Open Innovation,Fellow in Residence/ Senior Fellows,Curriculum or Educational Resource,2
Open Innovation,Fellow in Residence/ Senior Fellows,Other/not available,1
Open Innovation,Fellow in Residence/ Senior Fellows,Public Resource,4
Open Innovation,Fellow in Residence/ Senior Fellows,Research,2
Open Innovation,Gigabit Community Fund,Curriculum or Educational Resource,10
Open Innovation,MOSS,Capacity Building,1
Open Innovation,MOSS,General Operating Support,42
Open Innovation,MOSS,Hardware,3
Open Innovation,MOSS,Other/not available,7
Open Innovation,MOSS,Software,18
Open Innovation,Mozilla Science Mini Grants,Art or Media,1
Open Innovation,Mozilla Science Mini Grants,Curriculum or Educational Resource,14
Open Innovation,Mozilla Science Mini Grants,Public Resource,5
Open Innovation,Mozilla Science Mini Grants,Software,6
Open Innovation,Mozilla Science Mini Grants,Workshop or Convening,10
Open Innovation,Open News Fellows,Research,2
Open Innovation,Open News Fellows,Software,3
Open Innovation,Open Science Fellows,Art or Media,1
Open Innovation,Open Science Fellows,Curriculum or Educational Resource,5
Open Innovation,Open Science Fellows,Policy recommendations,1
Open Innovation,Open Science Fellows,Public Resource,7
Open Innovation,Open Science Fellows,Software,3
Open Innovation,Open Web Fellows,Public Resource,1
Open Innovation,Open Web Fellows,Research,2
Open Innovation,Other Programs,Other/not available,1
Open Innovation,Other Programs,Public Resource,1
Open Innovation,Responsible CS Challenge,Curriculum or Educational Resource,17
Open Innovation,Tech + Society Fellows,Public Resource,1
Open Innovation,Tech + Society Fellows,Software,1
Open Innovation,Tech Policy Fellows,Curriculum or Educational Resource,1
Open Innovation,Tech Policy Fellows,Policy recommendations,3
Open Innovation,Tech Policy Fellows,Public Resource,2
Open Innovation,Tech Policy Fellows,Research,1
Other/unavailable,Discretionary Awards,General Operating Support,2
Other/unavailable,Discretionary Awards,Other/not available,16
Other/unavailable,Discretionary Awards,Workshop or Convening,6
Other/unavailable,Other Programs,Other/not available,2
Privacy+Security,Advocacy Network Fund,Capacity Building,1
Privacy+Security,Advocacy Network Fund,Curriculum or Educational Resource,1
Privacy+Security,Advocacy Network Fund,Public Resource,2
Privacy+Security,Advocacy Network Fund,Workshop or Convening,4
Privacy+Security,Creative Media Awards,Art or Media,7
Privacy+Security,Discretionary Awards,Capacity Building,1
Privacy+Security,Discretionary Awards,Other/not available,1
Privacy+Security,Discretionary Awards,Public Resource,3
