Engagement Type,"Primary Output
(pick ONE)","COUNTA of Primary Output
(pick ONE)"
Advocacy Network Fund,Capacity Building,2
Advocacy Network Fund,Curriculum or Educational Resource,1
Advocacy Network Fund,Public Resource,3
Advocacy Network Fund,Workshop or Convening,14
Common Voice Fellows,not available,3
Creative Media Awards,Art or Media,30
Data Futures Lab,Public Resource,1
Data Futures Lab,Software,2
Discretionary Awards,Art or Media,1
Discretionary Awards,Capacity Building,2
Discretionary Awards,Curriculum or Educational Resource,8
Discretionary Awards,General Operating Support,9
Discretionary Awards,Hardware,2
Discretionary Awards,not available,16
Discretionary Awards,Other,2
Discretionary Awards,Public Resource,13
Discretionary Awards,Software,2
Discretionary Awards,Workshop or Convening,22
EU Policy Fellows,Public Resource,3
Fellow in Residence,not available,1
Ford MOSS/FOSDEM Sponsorship,not available,2
Ford Mozilla Technology Exchange Matching Fund,Capacity Building,7
Ford Mozilla Technology Exchange Matching Fund,Public Resource,1
Gigabit Community Fund,Curriculum or Educational Resource,49
Gigabit Community Fund,not available,1
Gigabit Community Fund,Public Resource,1
Gigabit Community Fund,Research,1
Gigabit Community Fund,Software,5
Hive Chicago Youth Council Mini-Grant,Workshop or Convening,8
Hive Toronto Mini Grants,Curriculum or Educational Resource,1
Hive Toronto Mini Grants,Workshop or Convening,9
Media Fellows,Curriculum or Educational Resource,1
Media Fellows,Software,1
MOSS,not available,126
Mozilla Hive NYC Fund,Capacity Building,9
Mozilla Hive NYC Fund,Curriculum or Educational Resource,14
Mozilla Hive NYC Fund,Hardware,1
Mozilla Hive NYC Fund,Public Resource,13
Mozilla Hive NYC Fund,Workshop or Convening,9
Mozilla Science Mini Grants,Art or Media,1
Mozilla Science Mini Grants,Curriculum or Educational Resource,17
Mozilla Science Mini Grants,Public Resource,5
Mozilla Science Mini Grants,Software,7
Mozilla Science Mini Grants,Workshop or Convening,10
Non Cohort Fellows,Art or Media,3
Non Cohort Fellows,Curriculum or Educational Resource,7
Non Cohort Fellows,not available,1
Non Cohort Fellows,Other,4
Non Cohort Fellows,policy recommendations,1
Non Cohort Fellows,Public Resource,15
Non Cohort Fellows,Research,8
NSF WINS,Hardware,21
Open Internet Engineering Fellows,Hardware,3
Open Internet Engineering Fellows,Workshop or Convening,1
Open News Fellows,Curriculum or Educational Resource,2
Open News Fellows,Research,4
Open News Fellows,Software,8
Open Science Fellows,,0
Open Science Fellows,Curriculum or Educational Resource,8
Open Science Fellows,Other,1
Open Science Fellows,policy recommendations,1
Open Science Fellows,Public Resource,6
Open Science Fellows,Software,4
Open Web Fellows,Art or Media,3
Open Web Fellows,Curriculum or Educational Resource,2
Open Web Fellows,Other,1
Open Web Fellows,policy recommendations,4
Open Web Fellows,Public Resource,14
Open Web Fellows,Research,9
Open Web Fellows,Software,8
Open Web Fellows,Workshop or Convening,4
OpenDoTT,Other,5
Responsible CS Challenge,Curriculum or Educational Resource,34
Tech + Society Fellows,Curriculum or Educational Resource,2
Tech + Society Fellows,policy recommendations,2
Tech + Society Fellows,Public Resource,13
Tech + Society Fellows,Software,2
Tech Policy Fellows,Curriculum or Educational Resource,1
Tech Policy Fellows,Other,1
Tech Policy Fellows,policy recommendations,8
Tech Policy Fellows,Public Resource,6
Tech Policy Fellows,Research,1
Web Literacy for Library Staff,Curriculum or Educational Resource,1
Web Literacy for Library Staff,Public Resource,1
Web Literacy for Library Staff,Workshop or Convening,7
Web Literacy Leaders,Curriculum or Educational Resource,5
Web Monetization Fellows,Public Resource,1
Web Monetization Fellows,Research,1
