"Issue Area Tags
(pick ONE) ",Engagement Type,"COUNTA of Fellow/ Award Amount 
(total, incl suppl)"
,Discretionary Awards,25
Decentralization,Data Futures Lab,1
Decentralization,Discretionary Awards,1
Decentralization,Mozilla Science Mini Grants,2
Decentralization,Non Cohort Fellows,4
Decentralization,NSF WINS,10
Decentralization,Open Internet Engineering Fellows,2
Decentralization,Open Web Fellows,1
Decentralization,OpenDoTT,1
Decentralization,Tech Policy Fellows,2
Decentralization,Web Monetization Fellows,2
Digital Inclusion,Advocacy Network Fund,10
Digital Inclusion,Discretionary Awards,17
Digital Inclusion,EU Policy Fellows,1
Digital Inclusion,Ford Mozilla Technology Exchange Matching Fund,6
Digital Inclusion,Gigabit Community Fund,9
Digital Inclusion,Hive Chicago Youth Council Mini-Grant,7
Digital Inclusion,Media Fellows,1
Digital Inclusion,Mozilla Hive NYC Fund,29
Digital Inclusion,Mozilla Science Mini Grants,1
Digital Inclusion,Non Cohort Fellows,5
Digital Inclusion,NSF WINS,11
Digital Inclusion,Open Internet Engineering Fellows,1
Digital Inclusion,Open News Fellows,0
Digital Inclusion,Open Science Fellows,0
Digital Inclusion,Open Web Fellows,8
Digital Inclusion,OpenDoTT,2
Digital Inclusion,Tech + Society Fellows,6
Digital Inclusion,Tech Policy Fellows,2
Digital Inclusion,Web Literacy for Library Staff,4
MOSS,Ford MOSS/FOSDEM Sponsorship,2
MOSS,MOSS,126
Open Innovation,Discretionary Awards,15
Open Innovation,EU Policy Fellows,1
Open Innovation,Ford Mozilla Technology Exchange Matching Fund,1
Open Innovation,Gigabit Community Fund,10
Open Innovation,Mozilla Science Mini Grants,36
Open Innovation,Non Cohort Fellows,7
Open Innovation,Open News Fellows,0
Open Innovation,Open Science Fellows,15
Open Innovation,Open Web Fellows,5
Open Innovation,OpenDoTT,1
Open Innovation,Responsible CS Challenge,34
Open Innovation,Tech + Society Fellows,4
Open Innovation,Tech Policy Fellows,6
Privacy+Security,Advocacy Network Fund,8
Privacy+Security,Creative Media Awards,7
Privacy+Security,Data Futures Lab,2
Privacy+Security,Discretionary Awards,10
Privacy+Security,EU Policy Fellows,1
Privacy+Security,Ford Mozilla Technology Exchange Matching Fund,1
Privacy+Security,Media Fellows,1
Privacy+Security,Non Cohort Fellows,5
Privacy+Security,Open Internet Engineering Fellows,1
Privacy+Security,Open Science Fellows,2
Privacy+Security,Open Web Fellows,23
Privacy+Security,OpenDoTT,1
Privacy+Security,Tech + Society Fellows,6
Privacy+Security,Tech Policy Fellows,5
Trustworthy AI,Common Voice Fellows,3
Trustworthy AI,Creative Media Awards,9
Trustworthy AI,Discretionary Awards,1
Trustworthy AI,Fellow in Residence,1
Trustworthy AI,Mozilla Science Mini Grants,1
Trustworthy AI,Non Cohort Fellows,7
Web Literacy,Advocacy Network Fund,2
Web Literacy,Creative Media Awards,14
Web Literacy,Discretionary Awards,8
Web Literacy,Gigabit Community Fund,38
Web Literacy,Hive Chicago Youth Council Mini-Grant,1
Web Literacy,Hive Toronto Mini Grants,10
Web Literacy,Mozilla Hive NYC Fund,17
Web Literacy,Non Cohort Fellows,6
Web Literacy,Open News Fellows,0
Web Literacy,Open Web Fellows,2
Web Literacy,Tech + Society Fellows,3
Web Literacy,Tech Policy Fellows,2
Web Literacy,Web Literacy for Library Staff,5
Web Literacy,Web Literacy Leaders,5
