"Primary Output
(pick ONE)",Program,"Issue Area Tags
(pick ONE) ", Number of awards
Art or Media,Creative Media Awards,Privacy+Security,7
Art or Media,Creative Media Awards,Trustworthy AI,9
Art or Media,Creative Media Awards,Web Literacy,14
Art or Media,Discretionary Awards,Web Literacy,1
Art or Media,Fellow in Residence/ Senior Fellows,Decentralization,1
Art or Media,Fellow in Residence/ Senior Fellows,Privacy+Security,1
Art or Media,Fellow in Residence/ Senior Fellows,Web Literacy,1
Art or Media,Mozilla Science Mini Grants,Open Innovation,1
Art or Media,Open Science Fellows,Digital Inclusion,1
Art or Media,Open Science Fellows,Open Innovation,1
Art or Media,Open Science Fellows,Privacy+Security,1
Capacity Building,Advocacy Network Fund,Digital Inclusion,1
Capacity Building,Advocacy Network Fund,Privacy+Security,1
Capacity Building,Discretionary Awards,Digital Inclusion,1
Capacity Building,Discretionary Awards,Privacy+Security,1
Capacity Building,Hive,Digital Inclusion,5
Capacity Building,Hive,Web Literacy,4
Capacity Building,MOSS,Digital Inclusion,3
Capacity Building,MOSS,Open Innovation,1
Capacity Building,MOSS,Privacy+Security,1
Capacity Building,Other Programs,Digital Inclusion,1
Capacity Building,Other Programs,Privacy+Security,1
Curriculum or Educational Resource,Advocacy Network Fund,Privacy+Security,1
Curriculum or Educational Resource,Discretionary Awards,Digital Inclusion,1
Curriculum or Educational Resource,Discretionary Awards,Open Innovation,2
Curriculum or Educational Resource,Discretionary Awards,Web Literacy,3
Curriculum or Educational Resource,Fellow in Residence/ Senior Fellows,Open Innovation,2
Curriculum or Educational Resource,Fellow in Residence/ Senior Fellows,Privacy+Security,1
Curriculum or Educational Resource,Fellow in Residence/ Senior Fellows,Web Literacy,3
Curriculum or Educational Resource,Gigabit Community Fund,Digital Inclusion,7
Curriculum or Educational Resource,Gigabit Community Fund,Open Innovation,10
Curriculum or Educational Resource,Gigabit Community Fund,Web Literacy,32
Curriculum or Educational Resource,Hive,Digital Inclusion,4
Curriculum or Educational Resource,Hive,Web Literacy,11
Curriculum or Educational Resource,Mozilla Science Mini Grants,Decentralization,1
Curriculum or Educational Resource,Mozilla Science Mini Grants,Digital Inclusion,1
Curriculum or Educational Resource,Mozilla Science Mini Grants,Open Innovation,14
Curriculum or Educational Resource,Mozilla Science Mini Grants,Trustworthy AI,1
Curriculum or Educational Resource,Open News Fellows,Digital Inclusion,1
Curriculum or Educational Resource,Open Science Fellows,Open Innovation,5
Curriculum or Educational Resource,Open Web Fellows,Digital Inclusion,1
Curriculum or Educational Resource,Open Web Fellows,Privacy+Security,1
Curriculum or Educational Resource,Other Programs,Digital Inclusion,1
Curriculum or Educational Resource,Other Programs,Web Literacy,6
Curriculum or Educational Resource,Responsible CS Challenge,Open Innovation,17
Curriculum or Educational Resource,Tech + Society Fellows,Privacy+Security,1
Curriculum or Educational Resource,Tech Policy Fellows,Open Innovation,1
General Operating Support,Discretionary Awards,Digital Inclusion,5
General Operating Support,Discretionary Awards,Open Innovation,1
General Operating Support,Discretionary Awards,Other/unavailable,2
General Operating Support,MOSS,Digital Inclusion,5
General Operating Support,MOSS,Open Innovation,42
General Operating Support,MOSS,Privacy+Security,37
Hardware,Hive,Digital Inclusion,1
Hardware,MOSS,Digital Inclusion,1
Hardware,MOSS,Open Innovation,3
Hardware,NSF WINS,Decentralization,10
Hardware,NSF WINS,Digital Inclusion,11
Hardware,Other Programs,Decentralization,2
Hardware,Other Programs,Digital Inclusion,1
Other/not available,Discretionary Awards,Digital Inclusion,1
Other/not available,Discretionary Awards,Other/unavailable,16
Other/not available,Discretionary Awards,Privacy+Security,1
Other/not available,Fellow in Residence/ Senior Fellows,Decentralization,2
Other/not available,Fellow in Residence/ Senior Fellows,Open Innovation,1
Other/not available,Fellow in Residence/ Senior Fellows,Trustworthy AI,2
Other/not available,Gigabit Community Fund,Digital Inclusion,1
Other/not available,MOSS,Open Innovation,7
Other/not available,Open Science Fellows,Privacy+Security,1
Other/not available,Open Web Fellows,Digital Inclusion,1
Other/not available,Other Programs,Decentralization,1
Other/not available,Other Programs,Digital Inclusion,2
Other/not available,Other Programs,Open Innovation,1
Other/not available,Other Programs,Other/unavailable,2
Other/not available,Other Programs,Privacy+Security,1
Other/not available,Tech Policy Fellows,Privacy+Security,1
Policy recommendations,Fellow in Residence/ Senior Fellows,Digital Inclusion,1
Policy recommendations,Open Science Fellows,Open Innovation,1
Policy recommendations,Open Web Fellows,Privacy+Security,3
Policy recommendations,Tech + Society Fellows,Digital Inclusion,1
Policy recommendations,Tech Policy Fellows,Decentralization,2
Policy recommendations,Tech Policy Fellows,Digital Inclusion,1
Policy recommendations,Tech Policy Fellows,Open Innovation,3
Policy recommendations,Tech Policy Fellows,Privacy+Security,1
Policy recommendations,Tech Policy Fellows,Web Literacy,1
Public Resource,Advocacy Network Fund,Digital Inclusion,1
Public Resource,Advocacy Network Fund,Privacy+Security,2
Public Resource,Discretionary Awards,Digital Inclusion,5
Public Resource,Discretionary Awards,Open Innovation,4
Public Resource,Discretionary Awards,Privacy+Security,3
Public Resource,Discretionary Awards,Trustworthy AI,1
Public Resource,Fellow in Residence/ Senior Fellows,Decentralization,1
Public Resource,Fellow in Residence/ Senior Fellows,Digital Inclusion,2
Public Resource,Fellow in Residence/ Senior Fellows,Open Innovation,4
Public Resource,Fellow in Residence/ Senior Fellows,Privacy+Security,4
Public Resource,Fellow in Residence/ Senior Fellows,Trustworthy AI,1
Public Resource,Fellow in Residence/ Senior Fellows,Web Literacy,1
Public Resource,Gigabit Community Fund,Web Literacy,1
Public Resource,Hive,Digital Inclusion,13
Public Resource,Mozilla Science Mini Grants,Open Innovation,5
Public Resource,Open Science Fellows,Decentralization,1
Public Resource,Open Science Fellows,Digital Inclusion,1
Public Resource,Open Science Fellows,Open Innovation,7
Public Resource,Open Science Fellows,Privacy+Security,2
Public Resource,Open Web Fellows,Digital Inclusion,1
Public Resource,Open Web Fellows,Open Innovation,1
Public Resource,Open Web Fellows,Privacy+Security,5
Public Resource,Open Web Fellows,Web Literacy,2
Public Resource,Other Programs,Decentralization,1
Public Resource,Other Programs,Open Innovation,1
Public Resource,Other Programs,Web Literacy,1
Public Resource,Tech + Society Fellows,Digital Inclusion,2
Public Resource,Tech + Society Fellows,Open Innovation,1
Public Resource,Tech + Society Fellows,Privacy+Security,2
Public Resource,Tech + Society Fellows,Web Literacy,2
Public Resource,Tech Policy Fellows,Digital Inclusion,2
Public Resource,Tech Policy Fellows,Open Innovation,2
Public Resource,Tech Policy Fellows,Privacy+Security,4
Public Resource,Tech Policy Fellows,Web Literacy,1
Research,Fellow in Residence/ Senior Fellows,Digital Inclusion,1
Research,Fellow in Residence/ Senior Fellows,Open Innovation,2
Research,Fellow in Residence/ Senior Fellows,Trustworthy AI,4
Research,Fellow in Residence/ Senior Fellows,Web Literacy,1
Research,Gigabit Community Fund,Web Literacy,1
Research,Open News Fellows,Digital Inclusion,1
Research,Open News Fellows,Open Innovation,2
Research,Open Web Fellows,Open Innovation,2
Research,Open Web Fellows,Privacy+Security,5
Research,Tech Policy Fellows,Open Innovation,1
Software,Discretionary Awards,Digital Inclusion,1
