Engagement Type,"Issue Area Tags
(pick ONE) ",Year,"COUNTA of Issue Area Tags
(pick ONE) "
Common Voice Fellows,Trustworthy AI,2021,3
Fellow in Residence,Trustworthy AI,2021,1
MOSS (Issue),MOSS,2021,8
Non Cohort Fellows,Digital Inclusion,2021,1
Non Cohort Fellows,Open Innovation,2021,1
Non Cohort Fellows,Web Literacy,2021,1
Responsible CS Challenge,Open Innovation,2021,17
Tech + Society Fellows,Digital Inclusion,2021,3
Tech + Society Fellows,Open Innovation,2021,2
Tech + Society Fellows,Privacy+Security,2021,3
Tech + Society Fellows,Web Literacy,2021,1
Web Monetization Fellows,Decentralization,2021,2
